,name,nutri_fat,nutri_satuFat,nutri_carbohydrate,nutri_sugar,nutri_fiber,nutri_protein,nutri_salt,nutri_kcal
325,1to3 Noodles - SHRI RAJA INDUSTRIES - 60 g,9.9,63.4,3.1,6.3,10.4,5.334,,
326,mapro mixed fruit jam - 1 kg,0.0,0.0,68.0,67.0,0.0,0.1,0.0,265.0
327,bhujiya - chatkins - 400 g,41.0,10.4,42.5,0.0,0.0,14.0,,595.0
328,Soklet - Regal foods and Beverages - 50gm,19.25,5.75,52.0,0.0,,25.5,,478.0
329,Goat Cheese - Flanders Dairy Products - 500g,15.0,15.0,3.5,0.0,0.0,14.0,0.0,205.0
330,Paneer - Ananda - 200g,17.25,16.0,1.25,2.5,0.0,0.0,18.5,309.0
331,Harvest Gold 100 Whole Wheat Bread - 450g,1.19,0.42,51.0,3.6,6.4,9.3,1.2,251.0
332,Bagrry’s White Oats - 1kg,3.0,0.5,1.4,1.0,23.1,0.0,3.6,139.0
333,Mother Dairy Ultimate Dahi - 400g,4.5,4.5,5.0,0.0,0.0,3.7,0.0,75.0
334,Amul Gold - 1 litre,4.5,2.8,4.8,0.0,0.0,3.0,0.0,75.0
335,Diet Coke Mobile Pack - Coca-Cola - 500ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,Juice,,,,,,,0.0,
337,Jalapeno Slices - Tify - 190g,0.02,0.0,1.16,,,0.21,,5.0
338,Vikas Saxena - Oyes - 25g,6.5,,76.8,19.6,,9.3,,400.0
339,milk - smartpaper - 1letter,,,,,,,0.0,
